=== Unused Algorithms ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
         13     0% C++      467    4.27      8 ours            -    -             -          - PoissonErrors.v1                        
         13     0% C++      492    0.35      5 ours            -    -             -          - ConvertAxesToRealSpace.v1               
         13     0% C++      517    0.25      3 ours            -    -             -          - LoadDspacemap.v1                        
         13     0% C++      570    1.00      4 ours            -    -             -          - TOFSANSResolutionByPixel.v1             
         13     0% C++      602    0.20      1 ours            -    -             -          - GoniometerAnglesFromPhiRotation.v1      
         13     0% C++     1833    0.47      2 ours            -    -             -          - SaveGSASInstrumentFile.v1               
         13     0% Python  1048    0.07      2 ours            -    -             -          - GSASIIRefineFitPeaks.v1                 
         14     0% C++      184    0.49      1 ours            -    -             -          - RayTracerTester.v1                      
         14     0% C++      276    0.89      2 ours            -    -             -          - ShiftLogTime.v1                         
         14     0% C++      312    1.59      5 ours            -    -             -          - ExtractUnmaskedSpectra.v1               
         14     0% C++      483    0.75      6 ours            -    -   superseded           - ConvertSpectrumAxis.v1                  
         14     0% C++      494    0.45      1 ours            -    -             -          - CreateCalFileByNames.v1                 
         14     0% C++      518    0.29      1 ours            -    -             -          - UnwrapSNS.v1                            
         14     0% C++      590    2.99      5 ours            -    -             -          - SaveTBL.v1                              
         14     0% C++      743    0.43      5 ours            -    -             -          - VesuvioL1ThetaResolution.v1             
         14     0% C++      975    0.68     13 ours            -    -             -          - AccumulateMD.v1                         
         14     0% Python   231    0.00      0 ours     untested    -             -          - ExaminePowderDiffProfile.v1             
         14     0% Python   407    0.00      0 ours     untested    -             -          - RefLReduction.v1                        
         14   100% C++      852    0.14      5 ours            -    -             -          - LoadILLSANS.v1                          
         15     0% C++      203    1.30      4 ours            -    -             -          - DefineGaugeVolume.v1                    
         15     0% C++      238    1.61      2 ours            -    -             -          - LoadMappingTable.v1                     
         15     0% C++      308    1.38      4 ours            -    -             -          - LorentzCorrection.v1                    
         15     0% C++      359    0.61      4 ours            -    -             -          - SphericalAbsorption.v1                  
         15     0% C++     1104    0.25      4 ours            -    -             -          - PDCalibration.v1                        
         15     0% C++     1263    1.00      0 ours            -    -             -          - PawleyFit.v1                            
         15     0% Python   356    0.48      8 ours            -    -             -          - LoadNMoldyn4Ascii1D.v1                  
         15    13% C++      407    0.24      4 ours            -    -             - deprecated LoadSINQFocus.v1                        
         15    33% C++      406    0.36      5 ours            -    -             -          - LoadSPE.v1                              
         16     0% C++      389    3.13      6 ours            -    -             -          - ConvertToEventWorkspace.v1              
         16     0% C++      496    0.85      5 ours            -    -             -          - PeakIntensityVsRadius.v1                
         16     0% C++      506    0.85      4 ours            -    -   superseded           - FindCenterOfMassPosition.v1             
         16     0% C++     4167    1.00      0 ours            -    -             -          - RefinePowderInstrumentParameters.v3     
         17     0% Python   346    0.41      5 ours            -    -             -          - RetrieveRunInfo.v1                      
         18     0% C++      504    1.93      4 ours            -    -             -          - CompactMD.v1                            
         18     0% Python    82    0.00      0 ours     untested    -             -          - LoadVisionElasticEQ.v1                  
         18     0% Python   217    1.68      2 ours            -    -             -          - GetNegMuMuonicXRD.v1                    
         18    44% Python   211    1.54      3 ours            -    -             -          - VesuvioPreFit.v1                        
         19     0% C++      327    0.88      3 ours            -    -             -          - SliceMDHisto.v1                         
         19     0% Python    69    0.00      0 ours     untested    -             -          - ConjoinFiles.v1                         
         19     0% Python   261    0.19      1 ours            -    -             -          - UpdatePeakParameterTableValue.v1        
         20     0% C++      292    0.97      3 ours            -    -             -          - SaveMDWorkspaceToVTK.v1                 
         20     0% C++      351    0.32      4 ours            -    -             -          - PointByPointVCorrection.v1              
         20     0% C++     1185    1.00      0 ours            -    -             -          - NormaliseByPeakArea.v1                  
         20     0% Python   110    0.24      1 ours            -    -             -          - SortByQVectors.v1                       

=== Untested Algorithms ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
          0   100% C++      114    0.00      0 ours     untested    -             -          - CatalogKeepAlive.v1                     
          0   100% C++      233    0.00      0 ours     untested    -             -          - LoadSpec.v1                             
          0   100% C++      239    0.00      0 ours     untested    -             - deprecated SANSDirectBeamScaling.v1                
          0   100% C++      249    0.00      0 ours     untested    -   superseded           - EQSANSDarkCurrentSubtraction.v1         
          0   100% C++      290    0.00      0 ours     untested    -             -          - SINQTranspose3D.v1                      
          0   100% C++      291    0.00      0 ours     untested    -             -          - DgsAbsoluteUnitsReduction.v1            
          0   100% C++      298    0.00      0 ours     untested    -             -          - OptimizeExtinctionParameters.v1         
          0   100% C++      325    0.00      0 ours     untested    -             -          - LoadLogsForSNSPulsedMagnet.v1           
          0   100% C++      407    0.00      0 ours     untested    -             -          - LoadILLAscii.v1                         
          0   100% C++      492    0.00      0 ours     untested    -             -          - TOFExtinction.v1                        
          0   100% C++      520    0.00      0 ours     untested    -             -          - EQSANSMonitorTOF.v1                     
          0   100% C++     1013    0.00      0 ours     untested    -             -          - SetupILLD33Reduction.v1                 
          0   100% Python    41    0.00      0 ours     untested    -             -          - ExampleRedStep.v1                       
          0   100% Python    47    0.00      0 ours     untested    -             -          - VisionLoadDetectorTable.v1              
          0   100% Python    81    0.00      0 ours     untested    -             -          - PearlMCAbsorption.v1                    
          0   100% Python    83    0.00      0 ours     untested    -             -          - MuscatData.v1                           
          0   100% Python   104    0.00      0 ours     untested    -             -          - MuscatFunc.v1                           
          0   100% Python   133    0.00      0 ours     untested    -             -          - SANSPatchSensitivity.v1                 
          0   100% Python   134    0.00      0 ours     untested    -   superseded           - GetEiMonDet.v1                          
          0   100% Python   233    0.00      0 ours     untested    -             -          - SelectPowderDiffPeaks.v1                
          0   100% Python   256    0.00      0 ours     untested    -             -          - SANSBeamSpreaderTransmission.v1         
          0   100% Python   279    0.00      0 ours     untested    -             -          - BASISReduction31.v1                     
          0   100% Python   327    0.00      0 ours     untested    -             -          - USANSReduction.v1                       
          0   100% Python   937    0.00      0 ours     untested    -             -          - RefinePowderDiffProfileSeq.v1           
          1     0% Python   187    0.00      0 ours     untested    -             -          - PDToGUDRUN.v1                           
          1     0% Python   373    0.00      0 ours     untested    -             -          - DPDFreduction.v1                        
          2     0% C++      361    0.00      0 ours     untested    -             -          - CatalogPublish.v1                       
          2     0% Python   185    0.00      0 ours     untested    -             -          - VisionReduction.v1                      
          4     0% C++      319    0.00      0 ours     untested    -             -          - SaveVTK.v1                              
          5     0% C++      109    0.00      0 ours     untested    -             -          - CatalogLogout.v1                        
          6     0% C++      905    0.00      0 ours     untested    -             -          - RefReduction.v1                         
          8     0% C++      311    0.00      0 ours     untested    -             -          - TOFSANSResolution.v1                    
          8    37% Python   255    0.00      0 ours     untested    -   superseded           - LRDirectBeamSort.v1                     
          9     0% C++      173    0.00      0 ours     untested    -             -          - RecordPythonScript.v1                   
          9     0% Python    63    0.00      0 ours     untested    -             -          - Squares.v1                              
          9     0% Python   148    0.00      0 ours     untested    -             -          - USANSSimulation.v1                      
         10     0% C++       97    0.00      0 ours     untested    -             -          - Segfault.v1                             
         10     0% C++      384    0.00      0 ours     untested    -             -          - PatchBBY.v1                             
         10     0% Python    58    0.00      0 ours     untested    -             -          - ViewBOA.v1                              
         10     0% Python    82    0.00      0 ours     untested    -             -          - LoadVisionElasticBS.v1                  
         10     0% Python   130    0.00      0 ours     untested    -             -          - ConvertSnsRoiFileToMask.v1              
         10     0% Python   226    0.00      0 ours     untested    -             -          - REFLReprocess.v1                        
         11     0% Python    31    0.00      0 ours     untested    -             -          - TestWorkspaceGroupProperty.v1           
         11     0% Python    79    0.00      0 ours     untested    -             -          - ExampleSaveAscii.v1                     
         12     0% C++      265    0.00      0 ours     untested    -   superseded           - FFTSmooth.v1                            
         12     0% C++     1266    0.00      0 ours     untested    -             -          - SaveISISNexus.v1                        
         12     0% Python   100    0.00      0 ours     untested    -             -          - ApplyNegMuCorrection.v1                 
         13     0% C++      254    0.00      0 ours     untested    -             -          - LoadInstrumentFromNexus.v1              
         14     0% Python   231    0.00      0 ours     untested    -             -          - ExaminePowderDiffProfile.v1             
         14     0% Python   407    0.00      0 ours     untested    -             -          - RefLReduction.v1                        
         18     0% Python    82    0.00      0 ours     untested    -             -          - LoadVisionElasticEQ.v1                  
         19     0% Python    69    0.00      0 ours     untested    -             -          - ConjoinFiles.v1                         
         21     0% C++      856    0.00      0 ours     untested    -   superseded           - SaveCanSAS1D.v1                         
         24     0% Python    55    0.00      0 ours     untested    -             -          - LoadVisionInelastic.v1                  
         34     0% C++      192    0.00      0 ours     untested    -             -          - SANSBeamFluxCorrection.v1               
         34   100% C++      405    0.00      0 ours     untested    -             -          - DgsDiagnose.v1                          
         38    63% C++      210    0.00      0 ours     untested    -             -          - EQSANSPatchSensitivity.v1               
         39     0% C++      331    0.00      0 ours     untested    -             -          - LoadCanSAS1D.v2                         
         41    82% C++      876    0.00      0 ours     untested    -             -          - DetectorDiagnostic.v1                   
         49     0% Python   100    0.00      0 ours     untested    -             -          - GenerateGroupingSNSInelastic.v1         
         51     0% Python   142    0.00      0 ours     untested    -             -          - ExportGeometry.v1                       
         54     0% Python   510    0.00      0 ours     untested    -             -          - CalibrateRectangularDetectors.v1        
         57    49% C++      358    0.00      0 ours     untested    -             -          - CrossCorrelate.v1                       
         63   100% Python   135    0.00      0 ours     untested    -             -          - LoadPreNexusLive.v1                     
         65     0% C++      159    0.00      0 ours     untested    -             -          - ComputeSensitivity.v1                   
         68   100% C++      231    0.00      0 ours     untested    -             -          - DgsProcessDetectorVanadium.v1           
         93     0% C++      382    0.00      0 ours     untested    -             -          - SaveDiffFittingAscii.v1                 
        183    45% Python   487    0.00      0 ours     untested    -             -          - LRScalingFactors.v1                     
        222     0% Python   304    0.00      0 ours     untested    -             -          - PoldiDataAnalysis.v1                    
